"post_content","post_title","post_excerpt","ping_status","post_name","regular_price","stock_status","virtual","product_gallery","featured_image","category"
"<p>Ruf deine Gruppe zusammen und mach dich bereit für ein neues Oldschool-RPG-Abenteuer! Diskutiere deine Entscheidungen mit deinen Begleitern, erwehre dich deiner Gegner in rundenbasierten Kämpfen, erkunde eine offene Welt und interagiere mit allen Objekten und Personen, denen du begegnest. Schließe dich mit einem Freund zusammen, um online im Koop-Modus zu spielen, und erstelle mit dem umfangreichen RPG-Toolkit deine eigenen Abenteuer.<br>
    <br>
    In <strong>Divinity: Original Sin</strong> übernimmst du die Rolle eines jungen Quellenjägers oder einer jungen Quellenjägerin: Deine Berufung ist es, die Welt von jenen zu säubern, die die schwärzeste aller Magiearten einsetzen. Als du dich aufmachst, im Rahmen einer Routineuntersuchung einen Mordfall aufzuklären, findest du dich plötzlich inmitten einer Geschichte wieder, die die Welt in ihren Grundfesten erschüttern wird.<br>
    <br>
    <strong>Divinity: Original Sin</strong> ist ein Spiel, das dir viele Freiheiten lässt und etliche Gameplay-Elemente zur Verfügung stellt, die du nach Belieben einsetzen kannst. Die epische Geschichte wird dich zwar immer weiter zum ultimativen Ende treiben, aber wie du dort ankommst, liegt ganz alleine bei dir.<br>
    <br>
    Oder aber bei dir und einem deiner Freunde, denn Divinity: Original Sin kann vollständig im Koop-Modus gespielt werden. Dabei kommt ein Mehrspielersystem zum Zuge, bei dem sowohl online als auch lokal ein beliebiges Ein- und Aussteigen der Mitspieler möglich ist. Großartige Abenteuer werden noch großartiger, wenn man sie zusammen mit geschätzten Waffenbrüdern und -schwestern erlebt!</p>
<h2 class=""bb_tag"">Schlüsselfeatures</h2>
<ul class=""bb_ul"">
    <li><strong>Werde Teil einer reaktiven, lebendigen und riesigen offenen Welt.</strong> Erkunde zahlreiche Gegenden, kämpfe gegen alle möglichen fantastischen Kreaturen und entdecke unzählige nützliche Gegenstände.</li>
    <li><strong>Erlebe spannende gruppen- und rundenbasierte Kämpfe. </strong> Manipuliere die Umgebung und kombiniere deine Fertigkeiten und Zauber, um deine Gegner zu besiegen: Zaubere zum Beispiel zuerst einen Regen auf deine Gegner herbei und schleudere danach einen Blitz auf sie, um sie unter Strom zu setzen. Experimentiere mit unterschiedlichen Kombinationen von Fertigkeiten, um deinen Spaß mit Gegnern und auch mit normalen Dorfbewohnern zu haben.</li>
    <li><strong>Spiele zusammen mit einem Freund im Koop-Modus: </strong>Fällt gemeinsame Entscheidungen (oder seid komplett anderer Meinung), während eure Interaktionen miteinander und eure Beziehung zueinander den Fortgang des Spiels beeinflussen.</li>
    <li><strong>Tauche ein in eine großartige und epische Geschichte, </strong> die in den frühen Jahren des Divinity-Universums angesiedelt ist. Dennoch ist es nicht notwendig, die früheren Divinity-Titel gespielt zu haben. Original Sin spielt relativ lange Zeit vor seinen Vorgängern Divine Divinity und Divinity II: The Dragon Knight Saga, aber wird den Fans der Divinity-Reihe dennoch vertraut vorkommen.</li>
    <li><strong>Klassenloses Charaktersystem, </strong> das dir die Gestaltung eines Charakters nach deiner eigenen Wahl ermöglicht. Zudem sorgen die schier endlosen Interaktionen und Kombinationen von Gegenständen für eine bisher unerreichte Freiheit beim Erkunden und Experimentieren.</li>
    <li><strong>Kreiere deine eigenen Abenteuer</strong> und stelle sie online zur Verfügung. Original Sin wird mit dem umfangreichen Toolkit ausgeliefert, das auch die Entwickler des Spiels selbst eingesetzt haben. Nun liegt es an dir, neue Geschichten zu kreieren und sie mit anderen Spielern zu teilen!</li>
</ul>","Divinity: Original Sin","<p>Sprache: <b>DE, EN</b></p>
<p>Region: <b>free</b></p>
<p>Plattform: <b>GOG</b>","closed","Divinity-Original-Sin-PC-GOG-Regfree-MULTILANG","4.4","instock","yes","http://hot-body.net/1638/1.jpg|http://hot-body.net/1638/2.jpg|http://hot-body.net/1638/3.jpg","http://i.ebayimg.com/t/Divinity-Original-Sin-PC-GOG-Regfree-MULTILANG-/00/s/NTAwWDUwMA==/z/aq8AAOSwA4dWJdzr/$_35.JPG","Games|Steam"
"<p>
Call of Duty®: Advanced  Warfare von Entwickler  Sledgehammer Games (Mitentwickler von Call of  Duty®: Modern Warfare® 3)  markiert den ersten Titel der Serie, der dem  neuen Drei-Jahre-Turnus  folgt und für die Next-Gen-Plattformen  entwickelt wurde. Call of Duty®:  Advanced Warfare zeigt die gewaltigen  Schlachtfelder der Zukunft, auf  denen die Technologie und Taktik sich  derart weiterentwickelt haben,  dass sie ein neues Kampfeszeitalter  einläuten. Mit einer atemberaubenden  schauspielerischen Darstellung von  Oscarpreisträger Kevin Spacey als  Jonathan Irons - einem der  einflussreichsten Männer der Welt - zeigt das  Spiel eine schaurige  Vision der zukünftigen Kriegsführung. 
 </p>","Call of Duty: Advanced Warfare","<p>Sprache: <b>DE,EN</b></p>
<p>Region: <b>free</b></p>
<p>Plattform: <b>Steam</b></p>","closed","Call-of-Duty-Advanced-Warfare-PC-Steam-Region-free-MULTILANGUAGE","22","instock","yes","http://funkyimg.com/i/Rq7d.jpg|http://funkyimg.com/i/Rq7e.jpg|http://funkyimg.com/i/Rq7f.jpg","http://i.ebayimg.com/t/Call-of-Duty-Advanced-Warfare-PC-Steam-Region-free-MULTILANGUAGE-/00/s/NTAwWDUwMA==/z/r7IAAOSwqu9VCWjH/$_35.JPG","Games|Steam"
"<p>You take on the role of Nikola Tesla: world's greatest inventor.<i> No big burden right?</i> When a snooping Thomas Edison accidentally damages your most recent invention, Tesla accidentally opens a quantum space tear. <strong>Oh dear.</strong> Now, you must set out across country, city and laboratory to confront your nemesis and fix this broken world! Blending classic 2D platforming with puzzle solving, unlockable inventions, 1800's era-Undead and randomly generating level design... and Tesla is in for a bit of challenge...</p>
<ul class=""bb_ul"">
    <li><strong>Inventions + Science.</strong> Find new ways to beat puzzles as you progress. Magnifying transmitters, electric-powered hover platform thingies, remote controls, Tesla Coils and even... the deadly and legendary Peace-Ray!</li>
    <li><strong>Pigeons.</strong> Yes, there are unlockable Pigeons to aid you on your adventure. Yes, you can name them.</li>
    <li><strong>Efficiency.</strong> The less efficiently you are able to solve puzzles, the more likely zombies will spawn around you. Use your inventions wisely or expect things to get even more complicated...</li>
    <li><strong>Randomization!</strong> RNG Or 'random number generation'. Get some re-playability from this platformer with levels randomly generating sectors, puzzles and environments as you play.</li>
    <li><strong>Easy-Breezy or Nail-Biting Hard!</strong> Take advantage of unlocking levels &amp; mid-level checkpoints or kick it up a challenge with Hard Mode, featuring: increased enemy spawn rates, no checkpoints and perma-death. Do you have it in you? <i>Do you?</i></li>
    <li><strong>Foot-Tapping Music.</strong> Some light-hearted and cheery European style tunes will help put your genius mind at ease. There you go!</li>
    <li><strong>Homage.</strong> Giving the nod to science and art with tribute to the legendary minds of Nikola Tesla, Thomas Edison (okay business mind), Eyvind Earle and more...</li>
</ul>","Tesla Breaks the World!","<p>Sprache: <b>EN</b></p>
<p>Region: <b>free</b></p>
<p>Plattform: <b>Steam</b></p>","closed","Tesla-Breaks-the-World-PC-Steam-Region-free-ENGLISH","1.8","instock","yes","http://hot-body.net/1812/1.jpg|http://hot-body.net/1812/2.jpg|http://hot-body.net/1812/3.jpg","http://i.ebayimg.com/t/Tesla-Breaks-the-World-PC-Steam-Region-free-ENGLISH-/00/s/NTAwWDUwMA==/z/o-MAAOSw~bFWIXVZ/$_35.JPG","Games|Steam"
"<h2 class=""bb_tag"">Fall Weiss is all about:</h2>
<ul class=""bb_ul"">
    <li><strong>Strategy </strong></li>
    <li><strong>Turns </strong></li>
    <li><strong>Hexes </strong></li>
    <li><strong>Counters </strong></li>
    <li><strong>Panzers </strong></li>
    <li><strong>Commies, Nazis, Poles</strong></li>
</ul>
<br>
<br>
<br>
<p>For the first time player has a possibility to recreate the events of the first campaign of World War 2. What is more important - the course of history can be changed, and the Germans and Soviets can be defeated. It's all up to you.<br>
    <br>
    <br>
    Three sides of conflict:<br>
    <a href=""https://steamcommunity.com/linkfilter/?url=http://en.wikipedia.org/wiki/Nazi_Germany"" target=""_blank"">Third Reich</a> - a regime looking for more and more Lebensraum, willing to roll over everything with Panzers and to bomb all that is left with Stukas.<br>
    <a href=""https://steamcommunity.com/linkfilter/?url=http://en.wikipedia.org/wiki/Soviet_union"" target=""_blank"">Soviet Union</a> - a regime, killing people for the Great Socialism. In 1920 the Polish Army stopped them, but this time Soviets are better prepared.<br>
    <a href=""https://steamcommunity.com/linkfilter/?url=http://en.wikipedia.org/wiki/Second_Republic_of_Poland"" target=""_blank"">Poland</a> - a regime, trying to survive between two of the greatest powers of Europe. They say the most handsome and brave cavalryman are in the Polish Army.<br>
    <br>
    <br>
    <strong>Facts:<br>
    Scale adapted for the size of the conflict<br>
    Detailed historical units<br>
    Huge modding possibilities<br>
    Replayability factor with a lot ""what if"" options<br>
    Difficulty level customizable for each country<br>
    History within a hand's reach<br>
    Only computer adaptation of the campaign<br>
    Runs well on every hardware </strong><br>
    <br>
    <br>
    &nbsp;</p>
<h2 class=""bb_tag"">Main Features</h2>
<ul class=""bb_ul"">
    <li>Realistic presentation of the campaign's events,</li>
    <li>Supply Depots which are crucial to execute successful offensives,</li>
    <li>HQ units and Chain of Command boosting the efficiency of units,</li>
    <li>Historical types of units, like Ulhans, Panzers, Stukas, etc.,</li>
    <li>Major rivers which can really slow down the offensive,</li>
    <li>Over 700 of historical units, with a unique photos,</li>
    <li>20000 hexes map of Poland and surroundings.</li>
</ul>
<p><br>
    <br>
    When there are no guns, no tanks, no hope, honor is the only thing that's left</p>","The Campaign Series: Fall Weiss","<p>Sprache: <b>DE, EN</b></p>
<p>Region: <b>free</b></p>
<p>Plattform: <b>Steam</b>","closed","The-Campaign-Series-Fall-Weiss-PC-Steam-Regfree-MULTILANG","1.8","instock","yes","http://hot-body.net/1538/1.jpg|http://hot-body.net/1538/2.jpg|http://hot-body.net/1538/3.jpg","http://i.ebayimg.com/t/The-Campaign-Series-Fall-Weiss-PC-Steam-Regfree-MULTILANG-/00/s/NTAwWDUwMA==/z/AGUAAOSwhcJWG3sV/$_35.JPG","Games|Steam"
"<p>Mimimi Productions, der neue Stern am Indie-Himmel, präsentiert The Last Tinker: City of Colors.<br>
    <br>
    Ein heiteres, liebevoll gestaltetes Action Adventure, inspiriert von zeitlosen Klassikern wie Zelda, Jak &amp; Daxter und Banjo Kazooie. The Last Tinker entführt auf ein farbenfrohes Abenteuer nach Farbstadt, in eine Welt, die ganz auf Kreativität, Gefühlen und Zusammenarbeit gebaut ist.<br>
    <br>
    Eine unheimliche Macht, bekannt als die „Bleiche“, hat sich erhoben und droht die Farben zu entzweien und der Welt alle Freude und alles Leben zu entziehen.<br>
    Koru, ein Junge aus den Slums von Farbstadt, kann nicht tatenlos zusehen. Er macht sich auf, in einem epischen und einzigartigen Abenteuer die Bleiche zu bezwingen und seiner Heimat die Freude und die Farben zurückzugeben.</p>","The Last Tinker: City of Colors","<p>Sprache: <b>DE, EN</b></p>
<p>Region: <b>free</b></p>
<p>Plattform: <b>Steam</b>","closed","The-Last-Tinker-City-of-Colors-PC-Steam-Regfree-MULTILANG","1.8","instock","yes","http://hot-body.net/1540/1.jpg|http://hot-body.net/1540/2.jpg|http://hot-body.net/1540/3.jpg","http://i.ebayimg.com/t/The-Last-Tinker-City-of-Colors-PC-Steam-Regfree-MULTILANG-/00/s/NTAwWDUwMA==/z/VG4AAOSwI-BWG6ER/$_35.JPG","Games|Steam"
"<p>Dieses Produkt benötigt zum Spielen die Steam-Version des Hauptspiels <a href=""http://store.steampowered.com/app/212500/"">The Lord of the Rings Online</a>.</p><p>Tauchen Sie in die legendäre Welt von J.R.R. Tolkien mit dem exklusiven Steely Dawn Pack für Der Herr der Ringe Online ™ ein. Ideal für angehende Abenteurer enthält das Steely Dawn Pack:</p>
<ul class=""bb_ul"">
    <li><strong>Steely Dawn Cosmetic Armor Set:</strong> Bereiten Sie sich auf Abenteuer mit dem Steely Dawn Armor Set vor. Dieses kosmetische Set beinhaltet eine helle weiße Rüstung mit dunkelgrauer Verkleidung für einen sehr coolen Look.</li>
    <li><strong>Evendim Quest Pack:</strong>Entdecken Sie die Ruinen der Stadt Annúminas an den Ufern des Evendim-See und unterstützen Sie Aragorn dabei, Narsil, die Klinge die gebrochen war, neu zu schmieden!</li>
    <li><strong>Fünf 100% XP Boosts:</strong> Erschaffen Sie Ihre Legende noch schneller mit diesen fünf Stärkezaubern, welche Ihnen 100% zusätzliche Erfahrungspunkte auf Quests, getötete Monster und mehr für 60 Minuten gewährt.</li>
    <li><strong>500 Turbine Points:</strong> Passen Sie Ihr Erlebnis in Mittelerde mit 500 Turbine Points an. Kaufen Sie kosmetische Ausrüstungen, seltene Reittiere, Stärkezauber und vieles mehr.</li>
</ul>","","<p>Sprache: <b>DE, EN</b></p>
<p>Region: <b>free</b></p>
<p>Plattform: <b>Steam</b>","closed","The-Lord-of-the-Rings-Online-Steely-Dawn-Starter-DLC-PC-Steam-Regfree-MULTILANG","5.7","instock","yes","http://hot-body.net/1159/1.jpg|http://hot-body.net/1159/2.jpg|http://hot-body.net/1159/3.jpg","http://i.ebayimg.com/t/The-Lord-of-the-Rings-Online-Steely-Dawn-Starter-DLC-PC-Steam-Regfree-MULTILANG-/00/s/NTAwWDUwMA==/z/30kAAOSwLqFV9oxl/$_35.JPG","Games|Steam"
"<p>Unravel an ancient mystery and search for an ancient treasure on England's fog-shrouded coastline, famed for its legends of smugglers, pirates and ghosts. Join ghost-hunters Nigel Danvers and Lucy Reubans as they investigate a tale of horror and haunting. Wielding the tools of the modern-day ghost-hunter in a cinematic, richly detailed interactive world of wind-swept coastlines and crumbling crypts, you will be captivated, taunted and teased by mind-bending puzzles and interactions with the town 'locals'. But, be warned, there are those who will stop at nothing to prevent Nigel discovering ""that which should stay hidden"". With nerves of steel and wits to match, in your search for The Lost Crown you will soon discover long lost secrets previously known only to the dead!</p>
<h2 class=""bb_tag"">Key features:</h2>
<ul class=""bb_ul"">
    <li>Spine-tingling ghost story.</li>
    <li>Realistic ghost-hunting, featuring actual E.V.P. (Electronic Voice Phenomena).</li>
    <li>Explore isolated, creepy locations with a nite-vision camera.</li>
    <li>Photographs of unexplained entities captured by creator Jonathan Boakes while researching the game.</li>
    <li>A Full cast of actors to bring the world of Saxton to life.</li>
    <li>Chilling original soundtrack.</li>
    <li>Point and click gameplay with both first and third person interaction.</li>
    <li>Realistic and integrated puzzles.</li>
    <li>A stunning 30+ hours of gameplay.</li>
</ul>","The Lost Crown","<p>Sprache: <b>DE, EN</b></p>
<p>Region: <b>free</b></p>
<p>Plattform: <b>Steam</b>","closed","The-Lost-Crown-PC-Steam-Regfree-MULTILANG","1.8","instock","yes","http://hot-body.net/1541/1.jpg|http://hot-body.net/1541/2.jpg|http://hot-body.net/1541/3.jpg","http://i.ebayimg.com/t/The-Lost-Crown-PC-Steam-Regfree-MULTILANG-/00/s/NTAwWDUwMA==/z/fMsAAOSwo6lWG31R/$_35.JPG","Games|Steam"
"<p>The Maker's Eden is a first-person hypertext adventure game presented in the style of a motion comic. You play a character trying to discover what their predefined purpose is, in a science fiction/noir inspired world filled with androids, flying cars and an early 20th century vibe.<br>
    <br>
    <strong>IMPORTANT:</strong><br>
    This is a 3-act episodic game. The purchase is for all 3 acts, of which act 1 is ready to be played right now. During the preparation of acts 2 and 3, we will also be releasing little mini-episodes every month that provide additional flavour and backstory to the world we have created.<br>
    <br>
    <strong>Has trading cards!</strong></p>","The Maker&apos;s Eden","<p>Sprache: <b>EN</b></p>
<p>Region: <b>free</b></p>
<p>Plattform: <b>Steam</b></p>","closed","The-Makers-Eden-PC-Steam-Region-free-ENGLISH","1.8","instock","yes","http://hot-body.net/1542/1.jpg|http://hot-body.net/1542/2.jpg|http://hot-body.net/1542/3.jpg","http://i.ebayimg.com/t/The-Makers-Eden-PC-Steam-Region-free-ENGLISH-/00/s/NTAwWDUwMA==/z/9PcAAOSwwbdWG4WM/$_35.JPG","Games|Steam"
"<h2 class=""bb_tag"">The Original Strife is back!</h2>
<p>Hailed as the original FPS-RPG game that spawned countless imitators, Strife: Veteran Edition is a love letter to the classic from 1996.<br>
    <br>
    <strong>New Features Include:</strong><br>
    &nbsp;</p>
<ul class=""bb_ul"">
    <li>Support for high resolutions, with proper aspect ratio.</li>
    <li>OpenGL for video backend to provide portability and support for vertical sync.</li>
    <li>Dynamic lighting and bloom</li>
    <li>Widescreen support.</li>
    <li>Ability to freely rebind all keyboard, mouse, and gamepad inputs.</li>
    <li>Steam Achievements</li>
    <li>Steam Trading Cards</li>
</ul>
<br>
<p><strong>Completion of missing and unfinished options in the original game, such as:</strong></p>
<br>
<br>
<ul class=""bb_ul"">
    <li>The planned ""Capture the Chalice” multi-player mode.</li>
    <li>Marking of current objectives on the auto-map.</li>
    <li>Special HUD for the Torpedo weapon<br>
        Immerse yourself in this all-consuming epic quest that for the first time combines riveting role-playing adventure with the spectacular Doom 3D engine! -An evil presence has implanted itself in the fabric of our world. Play the role of spy, assassin, warrior and thief as you are lured into the darkest and most perilous adventure of your life. You´ll have Blackbird on your side - a seductive underground agent that will provide you with clues as you encounter progressively more sinister foes. Be strong, and trust no one.<br>
        <br>
        <strong>FULLY INTERACTIVE WORLD</strong><br>
        The elaborate virtual environment offers 28 interconnected levels covering over 200 square miles. Explore medieval towns and industrial complexes filled with pitfalls and perils, ending in a final confrontation that will reveal the planet's darkest secrets.<br>
        <br>
        <strong>AN AWESOME ARSENAL</strong><br>
        From the silent but lethal crossbow to the breathtaking flame thrower, you'll toast, mince and vaporize your opponents in your search to control the ultimate weapon of mass destruction- the Sigil.<br>
        <br>
        <strong>NAIL-BITING NARRATIVE</strong><br>
        In your role as resistance fighter, you'll conspire with allies to demolish the fanatical ranks of the order from the inside out. Provides an engaging complex storyline and a multitude of dramatic voice-overs.</li>
</ul>","The Original Strife: Veteran Edition","<p>Sprache: <b>EN</b></p>
<p>Region: <b>free</b></p>
<p>Plattform: <b>Steam</b></p>","closed","The-Original-Strife-Veteran-Edition-PC-Steam-Region-free-ENGLISH","1.8","instock","yes","http://hot-body.net/1543/1.jpg|http://hot-body.net/1543/2.jpg|http://hot-body.net/1543/3.jpg","http://i.ebayimg.com/t/The-Original-Strife-Veteran-Edition-PC-Steam-Region-free-ENGLISH-/00/s/NTAwWDUwMA==/z/s-0AAOSw~bFWG5Ao/$_35.JPG","Games|Steam"
"<p>A writer has died. His daughter seeks the help of you, Ord Salamon, to find his secret last novel. During the search, questions will emerge. Did her father really kill himself? What is the secret novel all about? What is going on at the island of Fardo? Crack codes, decipher secrets &amp; find a lost fortune in this exciting adventure for Windows PC.<br>
    <br>
    + Old-school style point &amp; click adventure<br>
    + Full English voice acting, 2000+ lines<br>
    + Hand-drawn art &amp; animation, 60+ rooms<br>
    + Original soundtrack by Lannie Neely III, 45+ mins<br>
    + Additional languages (text only) included, EFIGS<br>
    <br>
    The Samaritan Paradox is set in Sweden in the 80's. Ord Salomon has agreed to help Sara Bergwall find the book her father, Jonatan Bergwall, wrote before he died. During the course of this treasure hunt, he learns that Jonatan was investigating the weapons industry, and more specifically some covert affairs with foreign dictatorships.<br>
    <br>
    But more questions arise. What is the book about, and why does Sara want Ord to find it for her? Did her Alzheimer's-stricken mother know the secret before she grew too demented to share it? And how did Jonatan actually die?</p>","The Samaritan Paradox","<p>Sprache: <b>DE, EN</b></p>
<p>Region: <b>free</b></p>
<p>Plattform: <b>Steam</b>","closed","The-Samaritan-Paradox-PC-Steam-Regfree-MULTILANG","1.8","instock","yes","http://hot-body.net/1544/1.jpg|http://hot-body.net/1544/2.jpg|http://hot-body.net/1544/3.jpg","http://i.ebayimg.com/t/The-Samaritan-Paradox-PC-Steam-Regfree-MULTILANG-/00/s/NTAwWDUwMA==/z/Lc0AAOSwo0JWG5OJ/$_35.JPG","Games|Steam"
