ID,Angebotspreis,"Regulärer Preis"
22013,,"13,49"
22019,,
22021,,"6,99"
22023,,"7,99"
22025,,"11,49"
22027,,"17,49"
22029,,"36,49"
22031,,"52,99"
22033,,"189,99"
22037,,
22039,,"6,99"
22041,,"9,49"
22043,,"26,49"
22045,,"102,49"
22049,,
22051,,"5,99"
22053,,"9,99"
22055,,"25,49"
22059,,
22061,,"7,99"
22063,,"12,99"
22069,,
22071,,"7,99"
22073,,"13,49"
22076,,"7,99"
22081,,"16,99"
22086,,"6,99"
22088,,
22090,,"6,99"
22092,,"10,49"
22094,,"14,49"
22099,,
22101,,"29,99"
22103,,"44,49"
22107,,
22109,,"7,49"
22111,,"21,99"
22115,,
22117,,"7,99"
22119,,"16,99"
22121,,"27,99"
22123,,"125,49"
22127,,
22129,,"6,99"
22131,,"9,49"
22135,,
22137,,"6,99"
22139,,"11,49"
22141,,"17,99"
22143,,"30,99"
22145,,"58,99"
22147,,"89,49"
22151,,
22153,,"9,49"
22155,,"19,49"
22157,,"33,49"
22159,,"143,99"
22162,,
22164,,"7,99"
22166,,"21,99"
22171,,
22173,,"12,99"
22175,,"22,49"
22177,,"31,99"
22181,,
22183,,"13,99"
22185,,"55,49"
22188,,
22190,,"7,99"
22192,,"13,49"
22194,,"41,49"
22198,,
22200,,"4,99"
22202,,"12,49"
22205,,
22207,,"7,99"
22209,,"9,99"
22211,,"13,99"
22213,,"56,49"
22215,,"14,99"
22218,,
22220,,"4,99"
22222,,"10,49"
22226,,
22228,,"5,99"
22230,,"7,99"
22232,,"13,99"
22237,,
22239,,"10,49"
22241,,"17,49"
22243,,"32,99"
22245,,"87,49"
22247,,"251,99"
22251,,
22253,,"18,49"
22255,,"31,99"
22257,,"50,49"
22260,,
22262,,"10,99"
22264,,"18,99"
22266,,"35,99"
22270,,
22272,,"7,99"
22274,,"15,99"
22276,,"27,49"
22278,,"46,99"
22280,,"80,49"
22282,,"194,49"
22286,,
22288,,"10,99"
22290,,"18,99"
22292,,"37,99"
22295,,
22297,,"6,49"
22299,,"12,99"
22301,,"68,99"
22303,,"274,99"
22308,,
22310,,"5,49"
22312,,"6,49"
22314,,"9,49"
22316,,"10,49"
22318,,"12,99"
22320,,"18,99"
