"id",",","post_content_filtered"
"22013",",","16"
"22021",",","148"
"22023",",","216"
"22025",",","118"
"22027",",","22"
"22029",",","23"
"22031",",","24"
"22033",",","150"
"22039",",","124"
"22041",",","39"
"22043",",","40"
"22045",",","41"
"22051",",","202"
"22053",",","51"
"22055",",","52"
"22061",",","73"
"22063",",","54"
"22071",",","55"
"22073",",","547"
"22076",",","56"
"22081",",","57"
"22086",",","58"
"22090",",","64"
"22092",",","60"
"22094",",","61"
"22101",",","66"
"22103",",","67"
"22109",",","640"
"22111",",","77"
"22117",",","102"
"22119",",","103"
"22121",",","104"
"22123",",","131"
"22129",",","115"
"22131",",","109"
"22137",",","425"
"22139",",","420"
"22141",",","421"
"22143",",","456"
"22145",",","422"
"22147",",","423"
"22153",",","605"
"22155",",","606"
"22157",",","607"
"22159",",","608"
"22164",",","116"
"22166",",","155"
"22173",",","119"
"22175",",","120"
"22177",",","121"
"22183",",","167"
"22185",",","129"
"22190",",","195"
"22192",",","147"
"22194",",","152"
"22200",",","291"
"22202",",","149"
"22207",",","196"
"22209",",","191"
"22211",",","153"
"22213",",","201"
"22215",",","186"
"22220",",","208"
"22222",",","218"
"22228",",","256"
"22230",",","254"
"22232",",","217"
"22239",",","225"
"22241",",","226"
"22243",",","2016"
"22245",",","2017"
"22247",",","2018"
"22253",",","270"
"22255",",","271"
"22257",",","272"
"22262",",","273"
"22264",",","274"
"22266",",","275"
"22272",",","555"
"22274",",","285"
"22276",",","286"
"22278",",","287"
"22280",",","288"
"22282",",","289"
"22288",",","297"
"22290",",","298"
"22292",",","299"
"22297",",","304"
"22299",",","301"
"22301",",","302"
"22303",",","303"
"22310",",","3332"
"22312",",","332"
"22314",",","3330"
"22316",",","3331"
"22318",",","333"
"22320",",","334"
"22322",",","335"
"22324",",","336"
"22326",",","337"
"22332",",","662"
"22334",",","338"
"22340",",","339"
"22342",",","346"
"22344",",","347"
"22349",",","408"
"22355",",","659"
"22357",",","414"
"22363",",","554"
"22365",",","473"
"22367",",","474"
"22369",",","475"
"22371",",","476"
"22373",",","477"
"22380",",","557"
"22382",",","478"
"22384",",","599"
"22388",",","514"
"22391",",","515"
"22397",",","601"
"22399",",","602"
"22401",",","603"
"22403",",","604"
"22405",",","609"
"22412",",","610"
"22414",",","611"
"22416",",","612"
"22418",",","613"
"22424",",","614"
"22426",",","615"
"22429",",","650"
"22438",",","685"
"22440",",","686"
"22442",",","687"
"22444",",","688"
"22446",",","689"
"22454",",","751"
"22456",",","750"
"22458",",","752"
"22460",",","753"
"22467",",","4087"
"22469",",","4084"
"22471",",","4085"
"22473",",","4086"
"22480",",","4095"
"22482",",","4096"
"22484",",","4097"
"22490",",","2032"
"22492",",","2054"
"22494",",","2031"
"22499",",","2068"
"22501",",","2047"
"22503",",","2048"
"22510",",","4080"
"22512",",","4091"
"22514",",","4092"
"22516",",","4147"
"22523",",","4099"
"22525",",","4098"
"22527",",","4081"
"22529",",","4082"
"22531",",","4083"
"22533",",","4094"
"22540",",","4088"
"22542",",","4089"
"22544",",","4090"
"22550",",","6003"
"22552",",","6004"
"22554",",","6008"
"22559",",","6048"
"22561",",","6045"
"22568",",","4300"
"22570",",","4301"
"22572",",","4303"
"22578",",","4100"
"22580",",","4116"
"22586",",","495"
"22588",",","463"
"22590",",","465"
"22592",",","494"
"22597",",","32"
"22604",",","4122"
"22606",",","4123"
"22608",",","4124"
"22610",",","4125"
"22618",",","183"
"22620",",","169"
"22626",",","310"
"22628",",","228"
"22630",",","229"
"22632",",","528"
"22640",",","575"
"22642",",","156"
"22644",",","168"
"22650",",","616"
"22652",",","620"
"22658",",","4134"
"22660",",","4135"
"22667",",","4132"
"22669",",","4133"
"22673",",","4137"
"22680",",","4138"
"22682",",","4139"
"22689",",","4144"
"22691",",","4136"
"22697",",","4201"
"22699",",","4202"
"22701",",","4203"
"22703",",","4204"
"22705",",","4205"
"22707",",","4210"
"22709",",","4208"
"22711",",","4207"
"22713",",","4209"
"22721",",","1850"
"22723",",","76"
"22729",",","623"
"22731",",","668"
"22737",",","4213"
"22739",",","4214"
"22741",",","4215"
"22743",",","4217"
"22745",",","4218"
"22747",",","4219"
"22753",",","624"
"22755",",","625"
"22761",",","539"
"22763",",","436"
"22765",",","437"
"22770",",","544"
"22772",",","459"
"22774",",","497"
"22776",",","577"
"22780",",","4152"
"22784",",","4154"
"22788",",","4158"
"22792",",","4160"
"22796",",","4159"
"22800",",","4161"
"22804",",","97"
"22811",",","4306"
"22813",",","4307"
"22815",",","4308"
"22822",",","4330"
"22824",",","4331"
"22831",",","669"
"22833",",","4311"
"22835",",","4312"
"22837",",","4313"
"22839",",","4314"
"22841",",","4315"
"22843",",","4316"
"22850",",","4320"
"22852",",","4321"
"22859",",","4325"
"22861",",","4326"
"22864",",","5232"
"22867",",","98"
"22871",",","4165"
"22877",",","503"
"22879",",","526"
"22881",",","527"
"22885",",","630"
"22887",",","631"
"22892",",","4142"
"22898",",","635"
"22900",",","636"
"22902",",","637"
"22907",",","4223"
"22909",",","4224"
"22911",",","4225"
"22913",",","4222"
"22915",",","4220"
"22917",",","4221"
"22920",",","633"
"22926",",","4143"
"22928",",","4196"
"22935",",","638"
"22937",",","639"
"22939",",","641"
"22941",",","642"
"22948",",","1105"
"22950",",","1106"
"22952",",","1107"
"22954",",","1108"
"22960",",","1119"
"22962",",","1125"
"22964",",","1111"
"22966",",","1112"
"22968",",","1113"
"22974",",","1114"
"22976",",","1117"
"22978",",","1115"
"22980",",","1116"
"22982",",","1118"
"22989",",","650120"
"22991",",","650144"
"22993",",","650121"
"22995",",","650122"
"23001",",","650125"
"23003",",","650126"
"23010",",","650130"
"23012",",","650131"
"23014",",","650132"
"23016",",","650133"
"23023",",","650119"
"23025",",","650100"
"23027",",","650101"
"23029",",","650102"
"23031",",","650106"
"23038",",","650103"
"23040",",","650104"
"23042",",","650105"
"23044",",","650107"
"23051",",","650140"
"23053",",","650141"
"23055",",","650142"
"23062",",","650108"
"23064",",","650109"
"23066",",","650110"
"23068",",","650111"
"23075",",","650146"
"23077",",","650147"
"23084",",","650155"
"23086",",","650156"
"23088",",","650157"
"23090",",","650158"
"23094",",","4166"
"23097",",","1120"
"23105",",","4145"
"23107",",","4146"
"23114",",","4176"
"23116",",","4177"
"23118",",","4178"
"23125",",","4170"
"23127",",","4171"
"23129",",","4172"
"23131",",","4173"
"23138",",","650135"
"23140",",","650136"
"23142",",","650137"
"23144",",","650138"
"23150",",","617"
"23152",",","618"
"23154",",","619"
"23156",",","545"
"23160",",","4230"
"23164",",","4168"
"23168",",","4169"
"23172",",","4174"
"23176",",","4175"
"23181",",","650123"
"23183",",","650124"
"23185",",","650127"
"23191",",","650112"
"23193",",","650113"
"23195",",","650114"
"23200",",","4235"
"23202",",","4236"
"23204",",","4237"
"23211",",","561"
"23213",",","562"
"23215",",","563"
"23217",",","564"
"23221",",","671"
"23223",",","645"
"23225",",","646"
"23233",",","754"
"23235",",","755"
"23240",",","1145"
"23242",",","1146"
"23249",",","1126"
"23251",",","1127"
"23253",",","1128"
"23260",",","1134"
"23262",",","1135"
"23264",",","1136"
"23266",",","1137"
"23273",",","1151"
"23275",",","1152"
"23277",",","1153"
"23281",",","4226"
"23286",",","1172"
"23288",",","1171"
"23290",",","1170"
"23296",",","1121"
"23298",",","1122"
"23300",",","1123"
"23308",",","4304"
"23310",",","4305"
"23312",",","4309"
"23317",",","650139"
"23319",",","650128"
"23321",",","650129"
"23328",",","4148"
"23330",",","4192"
"23332",",","4194"
"23335",",","4179"
"23338",",","4149"
"23341",",","4183"
"23344",",","4182"
"23351",",","4324"
"23353",",","4327"
"23360",",","591"
"23362",",","579"
"23367",",","33"
"23369",",","72"
"23377",",","652"
"23379",",","358"
"23381",",","359"
"23386",",","586"
"23388",",","587"
"23390",",","588"
"23392",",","589"
"23394",",","593"
"23396",",","595"
"23405",",","650115"
"23407",",","650116"
"23409",",","650117"
"23411",",","650118"
"23415",",","4191"
"23422",",","660"
"23424",",","661"
"23427",",","566"
"23430",",","567"
"23432",",","565"
"23437",",","675"
"23439",",","626"
"23441",",","627"
"23443",",","628"
"23449",",","313"
"23451",",","314"
"23453",",","356"
"23455",",","315"
"23460",",","483"
"23462",",","484"
"23464",",","351"
"23466",",","485"
"23471",",","1185"
"23473",",","1186"
"23478",",","1180"
"23480",",","1181"
"23485",",","1200"
"23487",",","1201"
"23489",",","570"
"23495",",","401"
"23497",",","402"
"23499",",","403"
"23501",",","404"
"23503",",","406"
"23506",",","568"
"23512",",","553"
"23514",",","530"
"23516",",","531"
"23518",",","532"
"23524",",","1190"
"23526",",","1191"
"23528",",","1192"
"23534",",","1205"
"23536",",","1206"
"23538",",","135"
"23543",",","45"
"23545",",","44"
"23547",",","48"
"23549",",","49"
"23551",",","43"
"23558",",","4126"
"23560",",","4127"
"23562",",","4128"
"23564",",","4129"
"23566",",","4130"
"23573",",","1270"
"23575",",","1271"
"23577",",","1272"
"23579",",","1273"
"23582",",","592"
"23588",",","1103"
"23590",",","1104"
"23592",",","1109"
"23595",",","1124"
"23601",",","1250"
"23603",",","1251"
"23605",",","1252"
"23607",",","1253"
"23613",",","650175"
"23615",",","650176"
"23623",",","2100"
"23625",",","2101"
"23627",",","2102"
"23629",",","2103"
"23631",",","2104"
"23633",",","560"
"23639",",","1260"
"23641",",","1261"
"23643",",","1262"
"23648",",","1332"
"23650",",","1330"
"23654",",","5268"
"23660",",","1132"
"23662",",","1133"
"23664",",","1140"
"23670",",","548"
"23672",",","665"
"23674",",","652012"
"23677",",","652018"
"23681",",","652001"
"23683",",","652002"
"23685",",","652003"
"23687",",","652004"
"23689",",","652009"
"23691",",","652013"
"23695",",","652005"
"23697",",","652006"
"23703",",","652015"
"23705",",","652016"
"23707",",","652017"
"23711",",","652010"
"23713",",","652011"
"23715",",","652014"
"23720",",","1425"
"23722",",","1426"
"23725",",","656"
"23730",",","1420"
"23732",",","1421"
"23734",",","1422"
"23736",",","1423"
"23741",",","1450"
"23743",",","1451"
"23748",",","1445"
"23750",",","1446"
"23752",",","652008"
"23757",",","1440"
"23759",",","1441"
"23766",",","95"
"23768",",","86"
"23770",",","253"
"23776",",","1430"
"23778",",","1436"
"23783",",","1470"
"23785",",","1471"
"23787",",","1472"
"23789",",","1473"
"23791",",","1474"
"23793",",","1475"
"23795",",","1476"
"23802",",","650150"
"23804",",","650151"
"23806",",","650152"
"23808",",","650153"
"23813",",","650200"
"23815",",","650201"
"23817",",","650202"
"23819",",","650203"
"23821",",","650204"
"23823",",","652030"
"23825",",","652033"
"23840",",","1520"
"23847",",","1492"
"23849",",","1480"
"23851",",","1573"
"23853",",","1574"
"23855",",","652036"
"23857",",","1571"
"23859",",","1572"
"23861",",","1576"
"23863",",","1577"
"23865",",","1575"
"23867",",","1490"
"23869",",","1585"
"23871",",","1578"
"23873",",","1579"
"23875",",","1583"
"23877",",","1581"
"23879",",","1584"
"23881",",","1586"
"23883",",","1587"
"23885",",","1588"
"23887",",","1489"
"23889",",","1591"
"23891",",","1594"
"23893",",","1589"
"23910",",","1582"
"23915",",","1175"
"23917",",","1176"
"23919",",","1177"
"23922",",","663"
"23927",",","652040"
"23929",",","652041"
"23936",",","4425"
"23938",",","4426"
"23940",",","4427"
"23942",",","4428"
"23949",",","4405"
"23951",",","4406"
"23953",",","4407"
"23955",",","4408"
"23977",",","4410"
"23979",",","4411"
"23981",",","4412"
"23983",",","4413"
"23990",",","4436"
"23992",",","4437"
"23994",",","1580"
"23996",",","1483"
"23998",",","1590"
"24000",",","1592"
"24002",",","1593"
"24009",",","4400"
"24011",",","4401"
"24013",",","4402"
"24015",",","4403"
"24022",",","4415"
"24024",",","4416"
"24026",",","4417"
"24028",",","4418"
"24035",",","4431"
"24037",",","4432"
"24044",",","4445"
"24046",",","4446"
"24048",",","4447"
"24073",",","312"
"24081",",","4456"
"24083",",","4457"
"24088",",","1554"
"24090",",","1555"
"24092",",","1556"
"24094",",","1557"
"24096",",","1558"
"24101",",","1560"
"24103",",","1561"
"24106",",","1570"
"24111",",","1565"
"24113",",","1566"
"24120",",","4451"
"24122",",","4452"
"24129",",","4461"
"24131",",","4462"
"24137",",","25"
"24139",",","26"
"24141",",","27"
"24164",",","1600"
"24166",",","1601"
"24170",",","1620"
"24175",",","1611"
"24177",",","1610"
"24179",",","1612"
"24181",",","1613"
"24185",",","1615"
"24187",",","1616"
"24193",",","1640"
"24195",",","1641"
"24197",",","1642"
"24221",",","1630"
"24224",",","1631"
"24226",",","1632"
"24231",",","1625"
"24233",",","1626"
"24235",",","1627"
"24237",",","1628"
"24244",",","4470"
"24246",",","4472"
"24251",",","6019"
"24253",",","6018"
"24255",",","6005"
"24257",",","6006"
"24259",",","6007"
"24264",",","1680"
"24266",",","1681"
"24271",",","1683"
"24273",",","1684"
"24279",",","1670"
"24281",",","1671"
"24283",",","1672"
"24306",",","1657"
"24308",",","1658"
"24312",",","1660"
"24314",",","1693"
"24322",",","4227"
"24324",",","4228"
"24326",",","4229"
"24328",",","4234"
"24330",",","4238"
"24336",",","1675"
"24338",",","1676"
"24340",",","1677"
"24342",",","610346"
"24346",",","2110"
"24348",",","2111"
"24350",",","2112"
"24352",",","2113"
"24356",",","2155"
"24358",",","2156"
"24362",",","2125"
"24364",",","2126"
"24366",",","2127"
"24368",",","2128"
"24390",",","2135"
"24392",",","2136"
"24397",",","2140"
"24399",",","2141"
"24404",",","2175"
"24406",",","2176"
"24411",",","2120"
"24413",",","2121"
"24415",",","2122"
"24420",",","2185"
"24422",",","2186"
"24424",",","2145"
"24426",",","2165"
"24428",",","2170"
"24430",",","2130"
"24432",",","2180"
"24434",",","2190"
"24436",",","2150"
"24438",",","2160"
"24444",",","1830"
"24446",",","1831"
"24448",",","1832"
"24452",",","1699"
"24455",",","5280"
"24457",",","1290"
"24462",",","1500"
"24464",",","1501"
"24466",",","1502"
"24489",",","1860"
"24491",",","1861"
"24496",",","1559"
