Artikelnummer;Bestandseinheit;Produktkennung-Typ;Produktkennung-Wert;Produktkennung-Wert 2;Verfügbare Stückzahl;Käufe;Gebote;Preis;Start Date;Angebotsende;Zustand;Typ;Artikelbezeichnung;Name der Unterkategorie;Kategorienummer;Private Notizen;Website auf der ursprünglich eingestellt wurde;Download-Datum;Variantendetails;Produktreferenznummer;Zustands-ID;OutOfStockControl
111538503643;;;;;3;15;;"EUR 3,70";04.12.14;;Neu;9;"Galaxy on Fire 2 Full HD Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
111538531512;;;;;3;3;;"EUR 7,80";04.12.14;;Neu;9;"Medal of Honor 2010 PC spiel Origin Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311012476;;;;;3;0;;"EUR 1,60";21.02.17;;Neu;9;"Numba Deluxe PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365853600;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Theatre Of The Absurd PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311013633;;;;;3;2;;"EUR 1,97";21.02.17;;Neu;9;"Moebius: Empire Rising PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311014833;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Urja PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365855849;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Ninja Guy PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365856546;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Cally's Caves 3 PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311018399;;;;;3;1;;"EUR 4,50";21.02.17;;Neu;9;"M.U.D. TV PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365857707;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Claustrophobia: The Downward Struggle PC spiel Steam Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311020181;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Proxy Blade Zero PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311020497;;;;;3;1;;"EUR 1,50";21.02.17;;Neu;9;"GEARGUNS - Tank offensive PC spiel Steam Download Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365860974;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Zotrix PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365863633;;;;;3;0;;"EUR 5,50";21.02.17;;Neu;9;"Beach Bounce PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365874327;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Conclusion PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365877494;;;;;3;0;;"EUR 1,53";21.02.17;;Neu;9;"Royal Defense PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311024514;;;;;3;0;;"EUR 2,20";21.02.17;;Neu;9;"I Shall Remain PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365887641;;;;;3;0;;"EUR 3,63";21.02.17;;Neu;9;"I, Gladiator PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311025922;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"The Descendant PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311026609;;;;;3;1;;"EUR 1,70";21.02.17;;Neu;9;"Heli Heroes PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365901825;;;;;3;0;;"EUR 1,90";21.02.17;;Neu;9;"Inescapable PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365907299;;;;;3;0;;"EUR 4,85";21.02.17;;Neu;9;"Rooms: The Main Building PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311028322;;;;;3;0;;"EUR 1,76";21.02.17;;Neu;9;"Elegy for a Dead World PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311028919;;;;;3;0;;"EUR 1,86";21.02.17;;Neu;9;"Last Inua PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311029519;;;;;3;0;;"EUR 2,30";21.02.17;;Neu;9;"Pneuma: Breath of Life PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311030003;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Death Goat PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365918493;;;;;0;1;;"EUR 4,90";21.02.17;;Neu;9;"Dracula Origin PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311031667;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Dub Dash PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311033477;;;;;3;1;;"EUR 1,50";21.02.17;;Neu;9;"Girls Like Robots PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311035332;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Slip PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122365923729;;;;;3;0;;"EUR 2,39";21.02.17;;Neu;9;"LA Cops PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311035802;;;;;3;0;;"EUR 1,50";21.02.17;;Neu;9;"Shadows of War PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112311036613;;;;;3;0;;"EUR 4,90";21.02.17;;Neu;9;"Avadon 2: The Corruption PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122366047837;;;;;3;3;;"EUR 1,50";21.02.17;;Neu;9;"Hunting Unlimited 2010 PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412287834;;;;;3;0;;"EUR 3,75";23.03.17;;Neu;9;"The Fleets of Sol PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412290860;;;;;3;0;;"EUR 1,50";23.03.17;;Neu;9;"Flat Heroes PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412291871;;;;;0;0;;"EUR 5,50";23.03.17;;Neu;9;"Mini Metro PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
