BaseProduktID,ProduktID
53281346,53301852
53281346,53301853
53281346,53301854
53281906,53289415
53281906,53289419
53281906,53289788
53281906,53289946
53283386,53300915
53283386,53300916
53283386,53300918
53284023,53283400
53284023,53284025
53284023,53284036
53300954,53283419
53300954,53300890
53300954,53300937
53300954,60047875
53313113,53312949
53313113,53313104
53313113,54959824
53368802,53362963
53368802,53368778
53416046,53416027
53416046,53416029
53416046,53416030
53416046,53416045
53416046,57883794
53416046,57886754
53432925,53432489
53432925,53432528
53444276,53410832
53444276,53444272
53456484,53746852
53456484,53746853
53490268,53490144
53490268,53490192
53490268,53490222
53490268,53490244
53522486,53522412
53522486,53522483
53522541,53522517
53522541,53522540
53552307,53547919
53552307,53547930
53552307,53552296
53556845,53556848
53557041,53556904
53557041,53557035
53564289,53563921
53564289,53564148
53573339,53573325
53573339,53573333
53573339,53573336
53583249,53583222
53586184,53586182
53587564,53587351
53587564,53587562
53587807,53587583
53587807,53587805
53648436,53648450
53648449,53648437
53648449,53648444
53648589,53648644
53648589,53648646
53648589,53648651
53648719,53648498
53648719,53648643
53654766,53654665
53654766,53654738
53654766,53654751
53654766,53654753
53655977,53655971
53655977,53655975
53655977,53655976
53655977,118737280
53656067,53656053
53656067,53656056
53660082,53660144
53660082,53660148
53660082,122047542
53660438,53660431
53663686,53663463
53663686,53663684
53663686,53663685
53663703,53663696
53663703,53663700
53663703,122047537
53673264,53673272
53673264,53673344
53673264,53673346
53673264,53673347
53673264,53673348
53718149,53588943
53718149,53588948
53718149,53718136
53740889,53740921
53740889,53740936
53746417,53746422
53746417,53746423
53746417,53746433
53746417,58707869
53746792,53313513
53746792,53746790
53772377,53772367
53772377,53772399
53772377,53772406
53772377,59241353
53772377,59241371
55394355,53660289
55394355,55394347
55400562,53586459
55400562,55400561
55400562,55400564
58741562,58740966
58741562,58741228
59015529,125642892
60070764,60071050
60070764,60071064
60070764,60071066
60077384,60077314
60077384,60077345
118929652,118929597
118929652,118929639
118929652,118929647
118929652,118929650
119042141,53673072
119042141,119042126
119042141,119042140
119670472,119670226
119670472,119670353
119670472,119670354
119670472,119670355
119670472,119670102
119670725,119670716
119670725,119670720
119670725,119670721
119670725,119670722
119670725,119670723
119670725,119670724
120144666,105078986
120144666,120144671
120144666,120144674
120144666,120144672
120144791,104973798
120144791,105027319
120144791,120144809
120144791,120144811
120144856,104899568
120144856,104939927
120144856,104939960
120144856,120144885
120144889,104944736
120144889,104973720
120144889,120144893
120144889,120144896
120144901,106627122
120144901,106661707
120144901,120144928
120144901,120144914
120144901,120144916
120200396,57493719
120200396,57493770
120200396,104561875
120200396,120200394
120200422,57493773
120200422,57493780
120200422,120200435
120200422,120200436
120200830,120200908
120200830,120200911
120200830,120200913
120200830,120200916
120201097,120201119
120201097,120201124
120201097,120201128
120201097,120201122
120201142,103231273
120201142,104442661
120201142,104515761
120201142,120201166
120201219,120201298
120201219,120201299
120201219,120201264
120201219,120201282
120201350,118323495
120201350,118325159
120201350,118325234
120201350,120202420
120592200,53451462
120592200,120592218
120630962,120631032
120630962,120631033
120630962,120631036
120630962,120631039
120789403,120789322
120789403,120789394
120789403,120789396
122642681,122638895
122642681,122642640
122642686,122642679
122642686,122642680
122642687,122642671
122642687,122642673
122642690,122642668
122642690,122642669
122642691,122642648
122642691,122642666
123089109,123089682
123089109,123089902
