parserId;parser;WooCommerce;wooId
3194;"100% Orange Juice Steam";"100% Orange Juice (PC)";3451
2840;"1000 Amps Steam";"1000 Amps (PC)";2262
2983;"18 Wheels of Steel: American Long Haul Steam";"18 Wheels of Steel: American Long Haul (PC)";3495
2841;"1953 KGB Unleashed Steam";"1953 KGB Unleashed (PC)";2252
3592;"1954 Alcatraz Steam";"1954 Alcatraz";8510
3593;"1HEART Steam";1HEART;8515
3272;"3 Stars of Destiny Steam";"3 Stars of Destiny";7768
2871;"3079 -- Block Action RPG Steam";"3079 -- Block Action RPG";6674
3273;"3089 Futuristic Action RPG Steam";"3089 -- Futuristic Action RPG";7773
2872;"3DMark Steam";3DMark;6694
2842;"3SwitcheD Steam";"3SwitcheD (PC)";2257
2873;"7 Days to Die Steam";"7 Days to Die";6669
2874;"7 Grand Steps What Ancients Begat Steam";"7 Grand Steps What Ancients Begat";6804
4089;"7 Wonders Ancient Alien Makeovers Steam";"7 Wonders: Ancient Alien Makeovers (PC)";3799
2859;"99 Levels to Hell Steam";"99 Levels to Hell (PC)";2267
3274;"A Story About My Uncle Steam";"A Story About My Uncle";7778
4090;"A Story About My Uncle Steam";"A Story About My Uncle";7778
3420;"A Virus Named TOM Steam";"A Virus Named TOM";6476
3150;"A.R.E.S.: Extinction Agenda Steam";"A.R.E.S.: Extinction Agenda";6075
3195;"Aarklash: Legacy Steam";"Aarklash: Legacy (PC)";3456
3043;"Abyss Odyssey Steam";"Abyss Odyssey (PC)";2341
2861;"Abyss: The Wraiths of Eden Steam";"Abyss: The Wraiths of Eden (PC)";2277
2862;"Ace of Spades: Battle Builder Steam";"Ace of Spades: Battle Builder (PC)";2282
3975;"Aces Wild: Manic Brawling Action! Steam";"Aces Wild: Manic Brawling Action! (PC)";3413
3196;"Adventure Park Steam";"Adventure Park (PC)";3461
3597;"Adventurer Manager Steam";"Adventurer Manager";8520
3158;"Age of Empires 2 HD Steam";"Age of Empires 2 HD (PC)";101
4067;"Age Of Empires 2 HD Bundle  The Forgotten";"Age Of Empires II 2 HD Bundle + Forgotten DLC (PC)";1654
4062;"Age of Empires II HD The Forgotten";"Age of Empires II 2 HD: The Forgotten Add-On (PC)";1789
3929;"Age of Empires Legacy steam";"Age of Empires Legacy Bundle (PC)";2488
3263;"Age of Mythology Extended Steam";"Age of Mythology: Extended Edition";8525
3602;"Age of Wonders III Steam";"Age of Wonders III";8530
3905;"Age of Wonders Shadow Magic Steam";"Age of Wonders Shadow Magic (PC)";3810
3904;"Age of Wonders Steam";"Age of Wonders (PC)";3804
2875;"Agricultural Simulator 2013  Steam";"Agricultural Simulator 2013 - Steam Edition";6819
4092;"Air Conflicts Pacific Carriers Steam";"Air Conflicts: Pacific Carriers";6969
4007;"Air Conflicts: Secret Wars Steam";"Air Conflicts: Secret Wars";6080
3906;"Air Forte Steam";"Air Forte (PC)";3815
3175;"Airline Tycoon 2 Steam";"Airline Tycoon 2";6085
4093;"AirMech Steam Starter Pack Steam";"AirMech Steam Starter Pack DLC Add-On (PC)";2331
2876;"Airport Simulator 2014 Steam";"Airport Simulator 2014";6814
3276;"Airship Dragoon Steam";"Airship Dragoon";7788
3123;"Alan Wake Franchise Steam";"Alan Wake Franchise";655
2864;"Alan Wake s American Nightmare Steam";"Alan Wake's American Nightmare (PC)";2326
2879;"Alex Hunter Lord of the Mind Platinum Steam";"Alex Hunter - Lord of the Mind Platinum Edition";6759
4081;"Alice Madness Returns Origin";"Alice: Madness Returns (PC) Origin";1326
4094;"Alice Madness Returns Steam";"Alice: Madness Returns (PC) Steam";660
4015;"Alien Breed 2: Assault Steam";"Alien Breed 2: Assault (PC)";3821
2865;"Alien Breed 3: Descent Steam";"Alien Breed 3: Descent (PC)";2316
2866;"Alien Breed Trilogy Steam";"Alien Breed Trilogy (PC)";2311
3730;"Alien Rage Unlimited Steam";"Alien Rage - Unlimited (PC)";1506
3584;"Alien Shooter 2 Conscription Steam";"Alien Shooter 2 Conscription";7119
2877;"Alien Spidy Steam";"Alien Spidy";6784
3962;"Alien: Isolation Season Pass Steam";"Alien: Isolation - Season Pass DLC Add-On";8540
3167;"Alien: Isolation Steam";"Alien: Isolation";8535
3895;"Aliens Colonial Marines Steam";"Aliens: Colonial Marines (PC)";1599
2878;"Alone in the Dark Steam";"Alone in the Dark";6764
3611;"Alpha Kimori 1 Steam";"Alpha Kimori 1";8545
3110;"Alpha Protocol Steam";"Alpha Protocol (PC)";573
3908;"Alter Ego Steam";"Alter Ego (PC)";3826
3909;"Alternativa Steam";"Alternativa (PC)";3831
3277;"Always Sometimes Monsters Steam";"Always Sometimes Monsters";7793
2860;"A-Men Steam";"A-Men (PC)";2272
3367;"American Conquest Fight Back Steam";"American Conquest: Fight Back";6101
4313;"Amnesia: A Machine for Pigs (PC)";"Amnesia: A Machine for Pigs (PC)";1604
3278;"Amphora Steam";Amphora;7798
2880;"Anachronox Steam";Anachronox;6774
3961;"Ancient Space Steam";"Ancient Space";8550
2867;"Angelica Weaver: Catch Me When You Can Steam";"Angelica Weaver: Catch Me When You Can (PC)";2336
3279;"Angels of Fasaria RPG MMORPG Steam";"Angels of Fasaria RPG + MMORPG";7803
4096;"Angry Video Game Nerd Adventures Steam";"Angry Video Game Nerd Adventures";6754
3910;"Ankh 3 Battle of the Gods Steam";"Ankh 3: Battle of the Gods (PC)";3836
3614;"Anmynor Puzzles Steam";"Anmynor Puzzles";8555
2881;"Anna Extended Edition Steam";"Anna - Extended Edition";6654
2897;"Anodyne Steam";Anodyne;6799
3605;"Anomaly 2 Steam";"Anomaly 2 (PC)";2546
2868;"Anomaly Korea Steam";"Anomaly Korea (PC)";2306
3368;"Anomaly Warzone Earth Steam";"Anomaly: Warzone Earth";6106
4054;Antichamber;"Antichamber (PC)";2536
3613;"Antichamber Steam";"Antichamber (PC)";2536
3912;"AquaNox 2 Revelation Steam";"AquaNox 2: Revelation";5940
3911;"AquaNox Steam";AquaNox;5935
3280;"Arcane Worlds Steam";"Arcane Worlds";7808
3365;"Arcania Gothic IV Steam";"Arcania Gothic 4 (PC)";906
2869;"Arena Wars 2 Steam";"Arena Wars 2 (PC)";2301
3585;"Arma 2 Army of the Czech Republic Steam";"Arma 2: Army of the Czech Republic";7084
3199;"Arma 2: Combined Operations Steam";"Arma 2: Combined Operations";5900
4010;"Arma 2: Operation Arrowhead Steam";"Arma 2: Operation Arrowhead";5895
3821;"Arma II Steam";"Arma II 2 (PC)";2214
3635;"ARMA Tactics Steam";"ARMA Tactics (PC)";2612
3408;"Arma X Anniversary DayZ Mod Steam";"Arma X Anniversary (DayZ Mod)";6305
